Date(UTC),type,Amount,Asset,Symbol,Transaction ID
2022-08-18 09:40:58.963,TRANSFER,9.50000000,BUSD,"",114674767646
2022-08-18 09:55:56.629,COMMISSION,-0.02781795,BUSD,ETHBUSD,92441217541900
2022-08-18 16:00:10.899,FUNDING_FEE,-0.00720592,BUSD,ETHBUSD,6126770993187434170
2022-08-19 00:00:10.556,FUNDING_FEE,-0.00700995,BUSD,ETHBUSD,6127978922875989310
2022-08-19 06:38:42.287,REALIZED_PNL,-6.16000000,BUSD,ETHBUSD,92440218447559
2022-08-19 06:38:42.287,COMMISSION,-0.02596995,BUSD,ETHBUSD,92440218447559
2022-08-31 11:16:16.035,TRANSFER,40.86333150,BUSD,"",115699123448
2022-08-31 11:23:22.246,COMMISSION,-0.04269930,BUSD,BTCBUSD,91671278413566
2022-08-31 16:00:06.282,FUNDING_FEE,-0.00242685,BUSD,BTCBUSD,6173881380021907140
2022-09-01 00:00:04.438,FUNDING_FEE,-0.01305021,BUSD,BTCBUSD,6175089333408277890
2022-09-01 08:00:04.877,FUNDING_FEE,-0.00016007,BUSD,BTCBUSD,6176297287843228890
2022-09-01 14:47:22.845,COMMISSION,-0.04139352,BUSD,BTCBUSD,91670279299545
2022-09-01 14:47:22.845,REALIZED_PNL,-4.35260000,BUSD,BTCBUSD,91670279299545
2022-10-24 16:18:46.937,TRANSFER,28.65428762,BUSD,"",119864273659
2022-10-25 08:01:44.753,COMMISSION,-0.06947424,BUSD,BTCBUSD,91671320283147
2022-10-25 08:01:56.753,COMMISSION,-0.06947639,BUSD,BTCBUSD,91670320283183
2022-10-25 08:01:56.753,REALIZED_PNL,0.00720000,BUSD,BTCBUSD,91670320283183
2022-10-25 08:02:33.575,COMMISSION,-0.06947639,BUSD,BTCBUSD,91670320283228
2022-10-25 13:47:38.473,COMMISSION,-0.07005564,BUSD,BTCBUSD,91671320391073
2022-10-25 13:47:38.473,REALIZED_PNL,-1.93080000,BUSD,BTCBUSD,91671320391073
2022-10-27 17:49:10.235,COMMISSION,-0.05562297,BUSD,BTCBUSD,91671322429362
2022-10-27 17:49:10.235,COMMISSION,-0.01236090,BUSD,BTCBUSD,91671322429363
2022-10-27 20:18:00.717,COMMISSION,-0.06734838,BUSD,BTCBUSD,91670322495999
2022-10-27 20:18:00.717,REALIZED_PNL,-2.11829999,BUSD,BTCBUSD,91670322495999
2022-10-28 08:34:58.531,COMMISSION,-0.04226649,BUSD,BTCBUSD,91670322866566
2022-10-28 13:32:15.356,COMMISSION,-0.04288074,BUSD,BTCBUSD,91671323054197
2022-10-28 13:32:15.356,REALIZED_PNL,-2.04750000,BUSD,BTCBUSD,91671323054197
2022-10-30 08:23:54.313,COMMISSION,-0.12360325,BUSD,ETHBUSD,92440283533664
2022-10-30 15:51:16.019,REALIZED_PNL,8.66902000,BUSD,ETHBUSD,92441283784187
2022-10-30 15:51:16.019,COMMISSION,-0.12100255,BUSD,ETHBUSD,92441283784187
2022-11-02 18:00:14.923,COMMISSION,-0.05840928,BUSD,BTCBUSD,91670325610953
2022-11-02 18:00:22.615,COMMISSION,-0.11013894,BUSD,BTCBUSD,91671325615878
2022-11-02 18:00:22.615,REALIZED_PNL,-0.69060000,BUSD,BTCBUSD,91671325615879
2022-11-02 18:00:22.615,COMMISSION,-0.03671298,BUSD,BTCBUSD,91671325615879
2022-11-02 18:00:22.615,REALIZED_PNL,-2.07180000,BUSD,BTCBUSD,91671325615878
2022-11-03 08:25:10.039,COMMISSION,-0.11559885,BUSD,BTCBUSD,91670326135816
2022-11-03 11:47:13.346,REALIZED_PNL,3.85130000,BUSD,BTCBUSD,91671326186607
2022-11-03 11:47:13.346,COMMISSION,-0.11444346,BUSD,BTCBUSD,91671326186607
2022-11-06 12:22:51.264,TRANSFER,-41.60000000,BUSD,"",121050372471
2022-11-21 02:09:31.694,COMMISSION,-0.00385080,BUSD,BTCBUSD,91671345001283
2022-11-21 08:00:06.269,FUNDING_FEE,-0.00001984,BUSD,BTCBUSD,6469831456462523670
2022-11-21 16:00:07.159,FUNDING_FEE,0.00010402,BUSD,BTCBUSD,6471039422096262820
2022-11-22 00:00:05.511,FUNDING_FEE,0.00565141,BUSD,BTCBUSD,6472247376279554710
2022-11-22 08:00:07.207,FUNDING_FEE,-0.00126202,BUSD,BTCBUSD,6473455340235574910
2022-11-22 16:00:04.113,FUNDING_FEE,0.00218064,BUSD,BTCBUSD,6474663298109851550
2022-11-23 00:00:06.537,FUNDING_FEE,-0.00121096,BUSD,BTCBUSD,6475871249986274070
2022-11-23 08:00:05.478,FUNDING_FEE,0.00081349,BUSD,BTCBUSD,6477079208615528850
2022-11-23 16:00:05.391,FUNDING_FEE,0.00039696,BUSD,BTCBUSD,6478287174668698320
2022-11-24 00:00:05.934,FUNDING_FEE,-0.00274420,BUSD,BTCBUSD,6479495123776882450
2022-11-24 08:00:04.642,FUNDING_FEE,0.00040538,BUSD,BTCBUSD,6480703098680036630
2022-11-24 16:00:05.052,FUNDING_FEE,-0.00043401,BUSD,BTCBUSD,6481911057938433890
2022-11-25 00:00:04.867,FUNDING_FEE,0.00120315,BUSD,BTCBUSD,6483119025962926770
2022-11-25 08:00:06.485,FUNDING_FEE,-0.00004242,BUSD,BTCBUSD,6484326981698112630
2022-11-25 16:00:06.876,FUNDING_FEE,-0.00067808,BUSD,BTCBUSD,6485534944018353840
2022-11-26 00:00:08.097,FUNDING_FEE,0.00134629,BUSD,BTCBUSD,6486742906632195920
2022-11-26 08:00:05.453,FUNDING_FEE,0.00440321,BUSD,BTCBUSD,6487950858508618160
2022-11-26 16:00:06.543,FUNDING_FEE,0.00269796,BUSD,BTCBUSD,6489158819193079550
2022-11-27 00:00:06.227,FUNDING_FEE,0.00293754,BUSD,BTCBUSD,6490366794809265640
2022-11-27 08:00:07.192,FUNDING_FEE,0.00063648,BUSD,BTCBUSD,6491574735067464600
2022-11-27 16:00:07.468,FUNDING_FEE,0.00016489,BUSD,BTCBUSD,6492782698604055900
2022-11-28 00:00:07.080,FUNDING_FEE,0.00325412,BUSD,BTCBUSD,6493990672416686840
2022-11-28 08:00:04.672,FUNDING_FEE,0.00119118,BUSD,BTCBUSD,6495198636079105960
2022-11-28 16:00:06.636,FUNDING_FEE,0.00004452,BUSD,BTCBUSD,6496406566942066860
2022-11-29 00:00:05.873,FUNDING_FEE,0.00069547,BUSD,BTCBUSD,6497614526787668500
2022-11-29 08:00:05.949,FUNDING_FEE,-0.00120370,BUSD,BTCBUSD,6498822501019733070
2022-11-29 16:00:06.860,FUNDING_FEE,0.00008846,BUSD,BTCBUSD,6500030450631231620
2022-11-30 00:00:05.051,FUNDING_FEE,0.00094890,BUSD,BTCBUSD,6501238423479176340
2022-11-30 08:00:04.682,FUNDING_FEE,-0.00337501,BUSD,BTCBUSD,6502446375229768690
2022-11-30 16:00:06.091,FUNDING_FEE,-0.00048879,BUSD,BTCBUSD,6503654324967099520
2022-12-01 00:00:04.619,FUNDING_FEE,0.00200389,BUSD,BTCBUSD,6504862286448479300
2022-12-01 08:00:04.410,FUNDING_FEE,0.00180547,BUSD,BTCBUSD,6506070255353776740
2022-12-01 13:30:41.758,COMMISSION,-0.01036499,BUSD,BTCBUSD,91670350808559
2022-12-01 13:30:41.758,REALIZED_PNL,2.46000000,BUSD,BTCBUSD,91670350808559
2022-12-05 03:23:39.331,COMMISSION,-0.04135367,BUSD,BTCBUSD,91670352074863
2022-12-05 08:00:05.115,FUNDING_FEE,-0.00264582,BUSD,BTCBUSD,6520565777317806970
2022-12-05 16:00:05.397,FUNDING_FEE,0.00139898,BUSD,BTCBUSD,6521773742783776180
